"target_quarter","days_to_release","asof","actual","labour","expenditure","ar1","hist_mean"
"2018Q1",150,"2018-01-07",1.03120128275553,0.754957865684294,0.68613060355658,0.860238451328972,0.638407395499015
"2018Q1",120,"2018-02-06",1.03120128275553,0.634543778091248,0.635247303963062,0.860238451328972,0.638407395499015
"2018Q1",90,"2018-03-08",1.03120128275553,0.0911842392247098,0.969396129787984,0.887913988483648,0.639239493695486
"2018Q1",60,"2018-04-07",1.03120128275553,0.0841491291510155,1.03102882232795,0.887913988483648,0.639239493695486
"2018Q1",45,"2018-04-22",1.03120128275553,0.0946138720461376,1.03102882232795,0.887913988483648,0.639239493695486
"2018Q1",30,"2018-05-07",1.03120128275553,0.0946138720461376,1.00402869628674,0.887913988483648,0.639239493695486
"2018Q1",20,"2018-05-17",1.03120128275553,0.0946138720461376,1.00402869628674,0.887913988483648,0.639239493695486
"2018Q1",10,"2018-05-27",1.03120128275553,0.0946138720461376,0.983024069709971,0.887913988483648,0.639239493695486
"2018Q1",5,"2018-06-01",1.03120128275553,0.0946138720461376,0.823112657259131,0.887913988483648,0.639239493695486
"2018Q1",1,"2018-06-05",1.03120128275553,0.0946138720461376,0.823112657259131,0.887913988483648,0.639239493695486
"2018Q2",150,"2018-04-08",0.742217472090623,0.615550083057185,0.623629833724583,0.855920480401575,0.639239493695486
"2018Q2",120,"2018-05-08",0.742217472090623,0.645290907317423,0.595752607001509,0.855920480401575,0.639239493695486
"2018Q2",90,"2018-06-07",0.742217472090623,1.14935551063128,0.362384326667948,0.847274592990156,0.63727786371488
"2018Q2",60,"2018-07-07",0.742217472090623,1.01908237491352,0.420386965864467,0.847274592990156,0.63727786371488
"2018Q2",45,"2018-07-22",0.742217472090623,1.06248839724578,0.420386965864467,0.847274592990156,0.63727786371488
"2018Q2",30,"2018-08-06",0.742217472090623,1.06248839724578,0.451853727432804,0.847274592990156,0.63727786371488
"2018Q2",20,"2018-08-16",0.742217472090623,1.06248839724578,0.451853727432804,0.847274592990156,0.63727786371488
"2018Q2",10,"2018-08-26",0.742217472090623,1.06248839724578,0.467782202848245,0.847274592990156,0.63727786371488
"2018Q2",5,"2018-08-31",0.742217472090623,1.06248839724578,1.0442096824596,0.847274592990156,0.63727786371488
"2018Q2",1,"2018-09-04",0.742217472090623,1.06248839724578,1.0442096824596,0.847274592990156,0.63727786371488
"2018Q3",150,"2018-07-08",0.377453658946658,0.543110321647033,0.718723208049837,0.859374034397707,0.63727786371488
"2018Q3",120,"2018-08-07",0.377453658946658,0.60768884150607,0.783306630699286,0.859374034397707,0.63727786371488
"2018Q3",90,"2018-09-06",0.377453658946658,0.645941599132007,0.677180280678749,0.865766043109585,0.647340703703725
"2018Q3",60,"2018-10-06",0.377453658946658,0.613173831704429,0.669724349460053,0.865766043109585,0.647340703703725
